"","Points","Wins","Draws","Loses","Goals.scored","Goals.conceded","Difference.goals","Percentage.scored.goals","Percentage.conceded.goals","Shots","Shots.on.goal","Penalties.scored","Assistances","Fouls.made","Matches.without.conceding","Yellow.cards","Red.cards","Offsides"
"Barcelona",91,29,4,5,112,29,83,2.95,0.76,600,277,11,79,385,18,66,1,120
"Real Madrid",90,28,6,4,110,34,76,2.89,0.89,712,299,6,90,420,14,72,5,114
"Atletico Madrid",88,28,4,6,63,18,45,1.66,0.47,481,186,1,49,503,24,91,3,84
"Villarreal",64,18,10,10,44,35,9,1.16,0.92,346,135,3,32,534,17,100,4,106
"Athletic",62,18,8,12,58,45,13,1.53,1.18,450,178,3,42,502,13,84,5,92
"Celta",60,17,9,12,51,59,-8,1.34,1.55,442,170,4,43,528,10,116,6,103
"Sevilla",52,14,10,14,51,50,1,1.34,1.32,460,189,6,35,555,11,106,7,106
"Malaga",48,12,12,14,38,35,3,1,0.92,452,170,2,27,552,12,110,5,85
"Real Sociedad",48,13,9,16,45,48,-3,1.18,1.26,454,164,1,33,465,13,108,5,85
"Betis",45,11,12,15,34,52,-18,0.89,1.37,398,132,3,26,490,12,110,3,80
"Las Palmas",44,12,8,18,45,53,-8,1.18,1.39,418,169,4,33,465,11,99,4,79
"Valencia",44,11,11,16,46,48,-2,1.21,1.26,401,143,4,27,567,7,113,7,92
"Eibar",43,11,10,17,49,61,-12,1.29,1.61,421,158,6,33,598,7,109,4,85
"Espanyol",43,12,7,19,40,74,-34,1.05,1.95,388,155,1,31,654,7,131,5,96
"Deportivo",42,8,18,12,45,61,-16,1.18,1.61,451,166,1,32,401,7,84,4,85
"Granada",39,10,9,19,46,69,-23,1.21,1.82,430,137,7,27,586,4,141,6,91
"Sporting Gijón",39,10,9,19,40,62,-22,1.05,1.63,372,129,1,29,522,7,107,5,81
"Rayo Vallecano",38,9,11,18,52,73,-21,1.37,1.92,505,192,2,35,545,6,115,9,123
"Getafe",36,9,9,20,37,67,-30,0.97,1.76,433,158,1,31,533,8,130,6,72
"Levante",32,8,8,22,37,70,-33,0.97,1.84,434,154,2,23,548,6,133,7,73
