Team;Points;Wins;Draws;Loses;Goals.scored;Goals.conceded;Difference.goals;Points.per.game;red.cards;yellow.cards;clean.sheets.percentage;failed.to.score.percentage;shots.per.match.average;shots.on.goal.per.match.average;ball.possession.per.game.average;sum.offside.in.attack;sum.offside.in.defense;corners.per.game.average;fouls.for.sum;fouls.against.sum
Paris-SG;93;29;6;3;108;29;79;2.45;6;66;47;8;16.05;6.74;63.34;98;99;6.71;139;105
Monaco;80;24;8;6;85;45;40;2.11;3;70;37;11;15.68;3.18;57.68;93;90;6.39;115;112
Lyon;78;23;9;6;87;43;44;2.05;2;70;39;11;14.55;6.08;56.37;89;76;5.74;114;107
Marseille;77;22;11;5;80;47;33;2.03;3;79;37;8;12.79;3.66;55.89;87;68;5.34;112;85
Rennes;58;16;10;12;50;44;6;1.53;5;63;26;13;12.47;4.08;52.59;86;57;5.32;110;117
Bordeaux;55;16;7;15;53;48;5;1.45;2;73;26;37;12.34;4.74;51.76;84;39;5.13;109;109
Saint-Etienne;55;15;10;13;47;50;-3;1.45;8;72;34;26;12.24;4.74;51.05;82;51;4.87;108;96
Nice;54;15;9;14;53;52;1;1.42;4;83;26;18;11.95;4.08;51;78;50;4.87;108;85
Nantes;52;14;10;14;36;41;-5;1.37;6;63;32;26;11.87;4.29;50.68;76;71;4.82;105;122
Montpellier;51;11;18;9;36;33;3;1.34;1;72;37;32;11.66;3.97;50.53;76;60;4.79;104;111
Dijon;48;13;9;16;55;73;-18;1.26;5;69;13;18;11.63;3.5;49.34;75;54;4.71;102;128
Guingamp;47;12;11;15;48;59;-11;1.24;2;65;29;29;11.39;4.53;48.46;75;53;4.68;99;87
Amiens;45;12;9;17;37;42;-5;1.18;5;72;29;42;11.32;3.64;47.39;72;144;4.66;98;102
Angers;41;9;14;15;42;52;-10;1.08;3;69;16;32;11.21;4.11;46.39;71;84;4.63;96;76
Strasbourg;38;9;11;18;44;67;-23;1;4;72;11;37;10.97;3.84;46.11;71;70;4.55;95;97
Caen;38;10;8;20;27;52;-25;1;4;67;34;47;10.95;4.29;45.78;70;87;4.45;94;115
Lille;38;10;8;20;41;67;-26;1;6;60;13;37;10.92;3.89;44.49;64;63;4.34;92;109
Toulouse;37;9;10;19;38;54;-16;0.97;3;90;32;32;10.68;4.13;44.39;59;127;4.21;91;80
Troyes;33;9;6;23;32;59;-27;0.87;7;77;21;45;9.18;2.94;43.77;58;71;3.97;90;94
Metz;26;6;8;24;34;76;-42;0.68;7;78;11;42;9.13;3.34;42.71;53;103;3.71;82;125
